Week of Allocations,1st Dose Allocations,2nd Dose Allocations,Jurisdiction
06/07/2021,"54,360","54,360",Connecticut
06/07/2021,"21,420","21,420",Maine
06/07/2021,"104,580","104,580",Massachusetts
06/07/2021,"21,420","21,420",New Hampshire
06/07/2021,"17,280","17,280",Rhode Island
06/07/2021,"11,070","11,070",Vermont
06/07/2021,"132,210","132,210",New Jersey
06/07/2021,"167,670","167,670",New York
06/07/2021,"128,070","128,070",New York City
06/07/2021,"52,290","52,290",Puerto Rico
06/07/2021,"3,240","3,240",U.S. Virgin Islands
06/07/2021,"15,210","15,210",Delaware
06/07/2021,"11,520","11,520",District of Columbia
06/07/2021,"89,370","89,370",Maryland
06/07/2021,"170,460","170,460",Pennsylvania
06/07/2021,"24,660","24,660",Philadelphia
06/07/2021,"126,000","126,000",Virginia
06/07/2021,"28,800","28,800",West Virginia
06/07/2021,"72,090","72,090",Alabama
06/07/2021,"314,640","314,640",Florida
06/07/2021,"149,490","149,490",Georgia
06/07/2021,"65,880","65,880",Kentucky
06/07/2021,"44,460","44,460",Mississippi
06/07/2021,"149,940","149,940",North Carolina
06/07/2021,"74,160","74,160",South Carolina
06/07/2021,"98,820","98,820",Tennessee
06/07/2021,"40,770","40,770",Chicago
06/07/2021,"149,490","149,490",Illinois
06/07/2021,"97,200","97,200",Indiana
06/07/2021,"147,870","147,870",Michigan
06/07/2021,"81,540","81,540",Minnesota
06/07/2021,"172,530","172,530",Ohio
06/07/2021,"85,680","85,680",Wisconsin
06/07/2021,"44,460","44,460",Arkansas
06/07/2021,"69,120","69,120",Louisiana
06/07/2021,"32,490","32,490",New Mexico
06/07/2021,"57,600","57,600",Oklahoma
06/07/2021,"393,660","393,660",Texas
06/07/2021,"46,530","46,530",Iowa
06/07/2021,"42,390","42,390",Kansas
06/07/2021,"89,820","89,820",Missouri
06/07/2021,"28,800","28,800",Nebraska
06/07/2021,"82,710","82,710",Colorado
06/07/2021,"16,830","16,830",Montana
06/07/2021,"11,520","11,520",North Dakota
06/07/2021,"13,140","13,140",South Dakota
06/07/2021,"41,220","41,220",Utah
06/07/2021,"9,450","9,450",Wyoming
06/07/2021,"102,510","102,510",Arizona
06/07/2021,"575,640","575,640",California
06/07/2021,"22,590","22,590",Hawaii
06/07/2021,"42,840","42,840",Nevada
06/07/2021,0,0,American Samoa
06/07/2021,0,0,Guam
06/07/2021,0,0,Marshall Islands
06/07/2021,0,0,Micronesia
06/07/2021,0,0,Mariana Islands
06/07/2021,0,0,Palau
06/07/2021,"16,830","16,830",Alaska
06/07/2021,"25,110","25,110",Idaho
06/07/2021,"62,190","62,190",Oregon
06/07/2021,"109,170","109,170",Washington
06/07/2021,"219,060","219,060",Federal Entities
05/31/2021,"54,360","54,360",Connecticut
05/31/2021,"21,420","21,420",Maine
05/31/2021,"104,580","104,580",Massachusetts
05/31/2021,"21,420","21,420",New Hampshire
05/31/2021,"17,280","17,280",Rhode Island
05/31/2021,"11,070","11,070",Vermont
05/31/2021,"132,210","132,210",New Jersey
05/31/2021,"167,670","167,670",New York
05/31/2021,"128,070","128,070",New York City
05/31/2021,"52,290","52,290",Puerto Rico
05/31/2021,"3,240","3,240",U.S. Virgin Islands
05/31/2021,"15,210","15,210",Delaware
05/31/2021,"11,520","11,520",District of Columbia
05/31/2021,"89,370","89,370",Maryland
05/31/2021,"170,460","170,460",Pennsylvania
05/31/2021,"24,660","24,660",Philadelphia
05/31/2021,"126,000","126,000",Virginia
05/31/2021,"28,800","28,800",West Virginia
05/31/2021,"72,090","72,090",Alabama
05/31/2021,"314,640","314,640",Florida
05/31/2021,"149,490","149,490",Georgia
05/31/2021,"65,880","65,880",Kentucky
05/31/2021,"44,460","44,460",Mississippi
05/31/2021,"149,940","149,940",North Carolina
05/31/2021,"74,160","74,160",South Carolina
05/31/2021,"98,820","98,820",Tennessee
05/31/2021,"40,770","40,770",Chicago
05/31/2021,"149,490","149,490",Illinois
05/31/2021,"97,200","97,200",Indiana
05/31/2021,"147,870","147,870",Michigan
05/31/2021,"81,540","81,540",Minnesota
05/31/2021,"172,530","172,530",Ohio
05/31/2021,"85,680","85,680",Wisconsin
05/31/2021,"44,460","44,460",Arkansas
05/31/2021,"69,120","69,120",Louisiana
05/31/2021,"32,490","32,490",New Mexico
05/31/2021,"57,600","57,600",Oklahoma
05/31/2021,"393,660","393,660",Texas
05/31/2021,"46,530","46,530",Iowa
05/31/2021,"42,390","42,390",Kansas
05/31/2021,"89,820","89,820",Missouri
05/31/2021,"28,800","28,800",Nebraska
05/31/2021,"82,710","82,710",Colorado
05/31/2021,"16,830","16,830",Montana
05/31/2021,"11,520","11,520",North Dakota
05/31/2021,"13,140","13,140",South Dakota
05/31/2021,"41,220","41,220",Utah
05/31/2021,"9,450","9,450",Wyoming
05/31/2021,"102,510","102,510",Arizona
05/31/2021,"575,640","575,640",California
05/31/2021,"22,590","22,590",Hawaii
05/31/2021,"42,840","42,840",Nevada
05/31/2021,0,0,American Samoa
05/31/2021,0,0,Guam
05/31/2021,0,0,Marshall Islands
05/31/2021,0,0,Micronesia
05/31/2021,0,0,Mariana Islands
05/31/2021,0,0,Palau
05/31/2021,"16,830","16,830",Alaska
05/31/2021,"25,110","25,110",Idaho
05/31/2021,"62,190","62,190",Oregon
05/31/2021,"109,170","109,170",Washington
05/31/2021,"218,790","218,790",Federal Entities
05/24/2021,"54,990","54,990",Connecticut
05/24/2021,"21,060","21,060",Maine
05/24/2021,"105,300","105,300",Massachusetts
05/24/2021,"21,060","21,060",New Hampshire
05/24/2021,"16,380","16,380",Rhode Island
05/24/2021,"10,530","10,530",Vermont
05/24/2021,"132,210","132,210",New Jersey
05/24/2021,"168,480","168,480",New York
05/24/2021,"128,700","128,700",New York City
05/24/2021,"52,650","52,650",Puerto Rico
05/24/2021,"2,340","2,340",U.S. Virgin Islands
05/24/2021,"15,210","15,210",Delaware
05/24/2021,"11,700","11,700",District of Columbia
05/24/2021,"90,090","90,090",Maryland
05/24/2021,"170,820","170,820",Pennsylvania
05/24/2021,"24,570","24,570",Philadelphia
05/24/2021,"126,360","126,360",Virginia
05/24/2021,"28,080","28,080",West Virginia
05/24/2021,"72,540","72,540",Alabama
05/24/2021,"314,730","314,730",Florida
05/24/2021,"149,760","149,760",Georgia
05/24/2021,"66,690","66,690",Kentucky
05/24/2021,"44,460","44,460",Mississippi
05/24/2021,"150,930","150,930",North Carolina
05/24/2021,"74,880","74,880",South Carolina
05/24/2021,"99,450","99,450",Tennessee
05/24/2021,"40,950","40,950",Chicago
05/24/2021,"149,760","149,760",Illinois
05/24/2021,"97,110","97,110",Indiana
05/24/2021,"148,590","148,590",Michigan
05/24/2021,"81,900","81,900",Minnesota
05/24/2021,"173,160","173,160",Ohio
05/24/2021,"86,580","86,580",Wisconsin
05/24/2021,"44,460","44,460",Arkansas
05/24/2021,"69,030","69,030",Louisiana
05/24/2021,"31,590","31,590",New Mexico
05/24/2021,"57,330","57,330",Oklahoma
05/24/2021,"394,290","394,290",Texas
05/24/2021,"46,800","46,800",Iowa
05/24/2021,"42,120","42,120",Kansas
05/24/2021,"90,090","90,090",Missouri
05/24/2021,"28,080","28,080",Nebraska
05/24/2021,"81,900","81,900",Colorado
05/24/2021,"16,380","16,380",Montana
05/24/2021,"11,700","11,700",North Dakota
05/24/2021,"12,870","12,870",South Dakota
05/24/2021,"40,950","40,950",Utah
05/24/2021,"9,360","9,360",Wyoming
05/24/2021,"102,960","102,960",Arizona
05/24/2021,"575,640","575,640",California
05/24/2021,"22,230","22,230",Hawaii
05/24/2021,"43,290","43,290",Nevada
05/24/2021,0,0,American Samoa
05/24/2021,0,0,Guam
05/24/2021,0,0,Marshall Islands
05/24/2021,0,0,Micronesia
05/24/2021,0,0,Mariana Islands
05/24/2021,0,0,Palau
05/24/2021,"16,380","16,380",Alaska
05/24/2021,"24,570","24,570",Idaho
05/24/2021,"62,010","62,010",Oregon
05/24/2021,"109,980","109,980",Washington
05/24/2021,"218,790","218,790",Federal Entities
05/17/2021,"54,990","54,990",Connecticut
05/17/2021,"21,060","21,060",Maine
05/17/2021,"105,300","105,300",Massachusetts
05/17/2021,"21,060","21,060",New Hampshire
05/17/2021,"16,380","16,380",Rhode Island
05/17/2021,"10,530","10,530",Vermont
05/17/2021,"132,210","132,210",New Jersey
05/17/2021,"168,480","168,480",New York
05/17/2021,"128,700","128,700",New York City
05/17/2021,"52,650","52,650",Puerto Rico
05/17/2021,"2,340","2,340",U.S. Virgin Islands
05/17/2021,"15,210","15,210",Delaware
05/17/2021,"11,700","11,700",District of Columbia
05/17/2021,"90,090","90,090",Maryland
05/17/2021,"170,820","170,820",Pennsylvania
05/17/2021,"24,570","24,570",Philadelphia
05/17/2021,"126,360","126,360",Virginia
05/17/2021,"28,080","28,080",West Virginia
05/17/2021,"72,540","72,540",Alabama
05/17/2021,"314,730","314,730",Florida
05/17/2021,"149,760","149,760",Georgia
05/17/2021,"66,690","66,690",Kentucky
05/17/2021,"44,460","44,460",Mississippi
05/17/2021,"150,930","150,930",North Carolina
05/17/2021,"74,880","74,880",South Carolina
05/17/2021,"99,450","99,450",Tennessee
05/17/2021,"40,950","40,950",Chicago
05/17/2021,"149,760","149,760",Illinois
05/17/2021,"97,110","97,110",Indiana
05/17/2021,"148,590","148,590",Michigan
05/17/2021,"81,900","81,900",Minnesota
05/17/2021,"173,160","173,160",Ohio
05/17/2021,"86,580","86,580",Wisconsin
05/17/2021,"44,460","44,460",Arkansas
05/17/2021,"69,030","69,030",Louisiana
05/17/2021,"31,590","31,590",New Mexico
05/17/2021,"57,330","57,330",Oklahoma
05/17/2021,"394,290","394,290",Texas
05/17/2021,"46,800","46,800",Iowa
05/17/2021,"42,120","42,120",Kansas
05/17/2021,"90,090","90,090",Missouri
05/17/2021,"28,080","28,080",Nebraska
05/17/2021,"81,900","81,900",Colorado
05/17/2021,"16,380","16,380",Montana
05/17/2021,"11,700","11,700",North Dakota
05/17/2021,"12,870","12,870",South Dakota
05/17/2021,"40,950","40,950",Utah
05/17/2021,"9,360","9,360",Wyoming
05/17/2021,"102,960","102,960",Arizona
05/17/2021,"575,640","575,640",California
05/17/2021,"22,230","22,230",Hawaii
05/17/2021,"43,290","43,290",Nevada
05/17/2021,0,0,American Samoa
05/17/2021,0,0,Guam
05/17/2021,0,0,Marshall Islands
05/17/2021,0,0,Micronesia
05/17/2021,0,0,Mariana Islands
05/17/2021,0,0,Palau
05/17/2021,"16,380","16,380",Alaska
05/17/2021,"24,570","24,570",Idaho
05/17/2021,"62,010","62,010",Oregon
05/17/2021,"109,980","109,980",Washington
05/17/2021,"218,790","218,790",Federal Entities
05/10/2021,"54,990","54,990",Connecticut
05/10/2021,"21,060","21,060",Maine
05/10/2021,"105,300","105,300",Massachusetts
05/10/2021,"21,060","21,060",New Hampshire
05/10/2021,"16,380","16,380",Rhode Island
05/10/2021,"10,530","10,530",Vermont
05/10/2021,"132,210","132,210",New Jersey
05/10/2021,"168,480","168,480",New York
05/10/2021,"128,700","128,700",New York City
05/10/2021,"52,650","52,650",Puerto Rico
05/10/2021,"2,340","2,340",U.S. Virgin Islands
05/10/2021,"15,210","15,210",Delaware
05/10/2021,"11,700","11,700",District of Columbia
05/10/2021,"90,090","90,090",Maryland
05/10/2021,"170,820","170,820",Pennsylvania
05/10/2021,"24,570","24,570",Philadelphia
05/10/2021,"126,360","126,360",Virginia
05/10/2021,"28,080","28,080",West Virginia
05/10/2021,"72,540","72,540",Alabama
05/10/2021,"314,730","314,730",Florida
05/10/2021,"149,760","149,760",Georgia
05/10/2021,"66,690","66,690",Kentucky
05/10/2021,"44,460","44,460",Mississippi
05/10/2021,"150,930","150,930",North Carolina
05/10/2021,"74,880","74,880",South Carolina
05/10/2021,"99,450","99,450",Tennessee
05/10/2021,"40,950","40,950",Chicago
05/10/2021,"149,760","149,760",Illinois
05/10/2021,"97,110","97,110",Indiana
05/10/2021,"148,590","148,590",Michigan
05/10/2021,"81,900","81,900",Minnesota
05/10/2021,"173,160","173,160",Ohio
05/10/2021,"86,580","86,580",Wisconsin
05/10/2021,"44,460","44,460",Arkansas
05/10/2021,"69,030","69,030",Louisiana
05/10/2021,"31,590","31,590",New Mexico
05/10/2021,"57,330","57,330",Oklahoma
05/10/2021,"394,290","394,290",Texas
05/10/2021,"46,800","46,800",Iowa
05/10/2021,"42,120","42,120",Kansas
05/10/2021,"90,090","90,090",Missouri
05/10/2021,"28,080","28,080",Nebraska
05/10/2021,"81,900","81,900",Colorado
05/10/2021,"16,380","16,380",Montana
05/10/2021,"11,700","11,700",North Dakota
05/10/2021,"12,870","12,870",South Dakota
05/10/2021,"40,950","40,950",Utah
05/10/2021,"9,360","9,360",Wyoming
05/10/2021,"102,960","102,960",Arizona
05/10/2021,"575,640","575,640",California
05/10/2021,"22,230","22,230",Hawaii
05/10/2021,"43,290","43,290",Nevada
05/10/2021,0,0,American Samoa
05/10/2021,0,0,Guam
05/10/2021,0,0,Marshall Islands
05/10/2021,0,0,Micronesia
05/10/2021,0,0,Mariana Islands
05/10/2021,0,0,Palau
05/10/2021,"16,380","16,380",Alaska
05/10/2021,"24,570","24,570",Idaho
05/10/2021,"62,010","62,010",Oregon
05/10/2021,"109,980","109,980",Washington
05/10/2021,"218,790","218,790",Federal Entities
05/03/2021,"54,990","54,990",Connecticut
05/03/2021,"21,060","21,060",Maine
05/03/2021,"105,300","105,300",Massachusetts
05/03/2021,"21,060","21,060",New Hampshire
05/03/2021,"16,380","16,380",Rhode Island
05/03/2021,"10,530","10,530",Vermont
05/03/2021,"132,210","132,210",New Jersey
05/03/2021,"168,480","168,480",New York
05/03/2021,"128,700","128,700",New York City
05/03/2021,"52,650","52,650",Puerto Rico
05/03/2021,"2,340","2,340",U.S. Virgin Islands
05/03/2021,"15,210","15,210",Delaware
05/03/2021,"11,700","11,700",District of Columbia
05/03/2021,"90,090","90,090",Maryland
05/03/2021,"170,820","170,820",Pennsylvania
05/03/2021,"24,570","24,570",Philadelphia
05/03/2021,"126,360","126,360",Virginia
05/03/2021,"28,080","28,080",West Virginia
05/03/2021,"72,540","72,540",Alabama
05/03/2021,"314,730","314,730",Florida
05/03/2021,"149,760","149,760",Georgia
05/03/2021,"66,690","66,690",Kentucky
05/03/2021,"44,460","44,460",Mississippi
05/03/2021,"150,930","150,930",North Carolina
05/03/2021,"74,880","74,880",South Carolina
05/03/2021,"99,450","99,450",Tennessee
05/03/2021,"40,950","40,950",Chicago
05/03/2021,"149,760","149,760",Illinois
05/03/2021,"97,110","97,110",Indiana
05/03/2021,"148,590","148,590",Michigan
05/03/2021,"81,900","81,900",Minnesota
05/03/2021,"173,160","173,160",Ohio
05/03/2021,"86,580","86,580",Wisconsin
05/03/2021,"44,460","44,460",Arkansas
05/03/2021,"69,030","69,030",Louisiana
05/03/2021,"31,590","31,590",New Mexico
05/03/2021,"57,330","57,330",Oklahoma
05/03/2021,"394,290","394,290",Texas
05/03/2021,"46,800","46,800",Iowa
05/03/2021,"42,120","42,120",Kansas
05/03/2021,"90,090","90,090",Missouri
05/03/2021,"28,080","28,080",Nebraska
05/03/2021,"81,900","81,900",Colorado
05/03/2021,"16,380","16,380",Montana
05/03/2021,"11,700","11,700",North Dakota
05/03/2021,"12,870","12,870",South Dakota
05/03/2021,"40,950","40,950",Utah
05/03/2021,"9,360","9,360",Wyoming
05/03/2021,"102,960","102,960",Arizona
05/03/2021,"575,640","575,640",California
05/03/2021,"22,230","22,230",Hawaii
05/03/2021,"43,290","43,290",Nevada
05/03/2021,0,0,American Samoa
05/03/2021,0,0,Guam
05/03/2021,0,0,Marshall Islands
05/03/2021,0,0,Micronesia
05/03/2021,0,0,Mariana Islands
05/03/2021,0,0,Palau
05/03/2021,"18,720","18,720",Alaska
05/03/2021,"24,570","24,570",Idaho
05/03/2021,"62,010","62,010",Oregon
05/03/2021,"109,980","109,980",Washington
05/03/2021,"218,790","218,790",Federal Entities
04/26/2021,"54,990","54,990",Connecticut
04/26/2021,"21,060","21,060",Maine
04/26/2021,"105,300","105,300",Massachusetts
04/26/2021,"21,060","21,060",New Hampshire
04/26/2021,"16,380","16,380",Rhode Island
04/26/2021,"10,530","10,530",Vermont
04/26/2021,"132,210","132,210",New Jersey
04/26/2021,"168,480","168,480",New York
04/26/2021,"128,700","128,700",New York City
04/26/2021,"52,650","52,650",Puerto Rico
04/26/2021,"2,340","2,340",U.S. Virgin Islands
04/26/2021,"15,210","15,210",Delaware
04/26/2021,"11,700","11,700",District of Columbia
04/26/2021,"90,090","90,090",Maryland
04/26/2021,"170,820","170,820",Pennsylvania
04/26/2021,"24,570","24,570",Philadelphia
04/26/2021,"126,360","126,360",Virginia
04/26/2021,"28,080","28,080",West Virginia
04/26/2021,"72,540","72,540",Alabama
04/26/2021,"314,730","314,730",Florida
04/26/2021,"149,760","149,760",Georgia
04/26/2021,"66,690","66,690",Kentucky
04/26/2021,"44,460","44,460",Mississippi
04/26/2021,"150,930","150,930",North Carolina
04/26/2021,"74,880","74,880",South Carolina
04/26/2021,"99,450","99,450",Tennessee
04/26/2021,"40,950","40,950",Chicago
04/26/2021,"149,760","149,760",Illinois
04/26/2021,"97,110","97,110",Indiana
04/26/2021,"148,590","148,590",Michigan
04/26/2021,"81,900","81,900",Minnesota
04/26/2021,"173,160","173,160",Ohio
04/26/2021,"86,580","86,580",Wisconsin
04/26/2021,"44,460","44,460",Arkansas
04/26/2021,"69,030","69,030",Louisiana
04/26/2021,"31,590","31,590",New Mexico
04/26/2021,"57,330","57,330",Oklahoma
04/26/2021,"394,290","394,290",Texas
04/26/2021,"46,800","46,800",Iowa
04/26/2021,"42,120","42,120",Kansas
04/26/2021,"90,090","90,090",Missouri
04/26/2021,"28,080","28,080",Nebraska
04/26/2021,"81,900","81,900",Colorado
04/26/2021,"16,380","16,380",Montana
04/26/2021,"11,700","11,700",North Dakota
04/26/2021,"12,870","12,870",South Dakota
04/26/2021,"40,950","40,950",Utah
04/26/2021,"9,360","9,360",Wyoming
04/26/2021,"102,960","102,960",Arizona
04/26/2021,"575,640","575,640",California
04/26/2021,"22,230","22,230",Hawaii
04/26/2021,"43,290","43,290",Nevada
04/26/2021,0,0,American Samoa
04/26/2021,0,0,Guam
04/26/2021,0,0,Marshall Islands
04/26/2021,0,0,Micronesia
04/26/2021,0,0,Mariana Islands
04/26/2021,0,0,Palau
04/26/2021,0,0,Alaska
04/26/2021,"24,570","24,570",Idaho
04/26/2021,"62,010","62,010",Oregon
04/26/2021,"109,980","109,980",Washington
04/26/2021,"218,790","218,790",Federal Entities
04/19/2021,"54,990","54,990",Connecticut
04/19/2021,"21,060","21,060",Maine
04/19/2021,"105,300","105,300",Massachusetts
04/19/2021,"21,060","21,060",New Hampshire
04/19/2021,"16,380","16,380",Rhode Island
04/19/2021,"10,530","10,530",Vermont
04/19/2021,"132,210","132,210",New Jersey
04/19/2021,"168,480","168,480",New York
04/19/2021,"128,700","128,700",New York City
04/19/2021,"52,650","52,650",Puerto Rico
04/19/2021,"2,340","2,340",U.S. Virgin Islands
04/19/2021,"15,210","15,210",Delaware
04/19/2021,"11,700","11,700",District of Columbia
04/19/2021,"90,090","90,090",Maryland
04/19/2021,"170,820","170,820",Pennsylvania
04/19/2021,"24,570","24,570",Philadelphia
04/19/2021,"126,360","126,360",Virginia
04/19/2021,"28,080","28,080",West Virginia
04/19/2021,"72,540","72,540",Alabama
04/19/2021,"314,730","314,730",Florida
04/19/2021,"149,760","149,760",Georgia
04/19/2021,"66,690","66,690",Kentucky
04/19/2021,"44,460","44,460",Mississippi
04/19/2021,"150,930","150,930",North Carolina
04/19/2021,"74,880","74,880",South Carolina
04/19/2021,"99,450","99,450",Tennessee
04/19/2021,"40,950","40,950",Chicago
04/19/2021,"149,760","149,760",Illinois
04/19/2021,"97,110","97,110",Indiana
04/19/2021,"148,590","148,590",Michigan
04/19/2021,"81,900","81,900",Minnesota
04/19/2021,"173,160","173,160",Ohio
04/19/2021,"86,580","86,580",Wisconsin
04/19/2021,"44,460","44,460",Arkansas
04/19/2021,"69,030","69,030",Louisiana
04/19/2021,"31,590","31,590",New Mexico
04/19/2021,"57,330","57,330",Oklahoma
04/19/2021,"394,290","394,290",Texas
04/19/2021,"46,800","46,800",Iowa
04/19/2021,"42,120","42,120",Kansas
04/19/2021,"90,090","90,090",Missouri
04/19/2021,"28,080","28,080",Nebraska
04/19/2021,"81,900","81,900",Colorado
04/19/2021,"16,380","16,380",Montana
04/19/2021,"11,700","11,700",North Dakota
04/19/2021,"12,870","12,870",South Dakota
04/19/2021,"40,950","40,950",Utah
04/19/2021,"9,360","9,360",Wyoming
04/19/2021,"102,960","102,960",Arizona
04/19/2021,"575,640","575,640",California
04/19/2021,"22,230","22,230",Hawaii
04/19/2021,"43,290","43,290",Nevada
04/19/2021,0,0,American Samoa
04/19/2021,0,0,Guam
04/19/2021,0,0,Marshall Islands
04/19/2021,0,0,Micronesia
04/19/2021,0,0,Mariana Islands
04/19/2021,0,0,Palau
04/19/2021,0,0,Alaska
04/19/2021,"24,570","24,570",Idaho
04/19/2021,"62,010","62,010",Oregon
04/19/2021,"109,980","109,980",Washington
04/19/2021,"203,580","203,580",Federal Entities
04/12/2021,"51,480","51,480",Connecticut
04/12/2021,"19,890","19,890",Maine
04/12/2021,"97,110","97,110",Massachusetts
04/12/2021,"19,890","19,890",New Hampshire
04/12/2021,"15,210","15,210",Rhode Island
04/12/2021,"9,360","9,360",Vermont
04/12/2021,"124,020","124,020",New Jersey
04/12/2021,"156,780","156,780",New York
04/12/2021,"119,340","119,340",New York City
04/12/2021,"49,140","49,140",Puerto Rico
04/12/2021,"2,340","2,340",U.S. Virgin Islands
04/12/2021,"14,040","14,040",Delaware
04/12/2021,"10,530","10,530",District of Columbia
04/12/2021,"83,070","83,070",Maryland
04/12/2021,"159,120","159,120",Pennsylvania
04/12/2021,"22,230","22,230",Philadelphia
04/12/2021,"117,000","117,000",Virginia
04/12/2021,"26,910","26,910",West Virginia
04/12/2021,"67,860","67,860",Alabama
04/12/2021,"293,670","293,670",Florida
04/12/2021,"139,230","139,230",Georgia
04/12/2021,"62,010","62,010",Kentucky
04/12/2021,"40,950","40,950",Mississippi
04/12/2021,"140,400","140,400",North Carolina
04/12/2021,"69,030","69,030",South Carolina
04/12/2021,"92,430","92,430",Tennessee
04/12/2021,"37,440","37,440",Chicago
04/12/2021,"139,230","139,230",Illinois
04/12/2021,"91,260","91,260",Indiana
04/12/2021,"139,230","139,230",Michigan
04/12/2021,"76,050","76,050",Minnesota
04/12/2021,"161,460","161,460",Ohio
04/12/2021,"80,730","80,730",Wisconsin
