Week of Allocations,1st Dose Allocations,2nd Dose Allocations,Jurisdiction
04/12/2021,"40,950","40,950",Arkansas
04/12/2021,"64,350","64,350",Louisiana
04/12/2021,"29,250","29,250",New Mexico
04/12/2021,"53,820","53,820",Oklahoma
04/12/2021,"367,380","367,380",Texas
04/12/2021,"43,290","43,290",Iowa
04/12/2021,"39,780","39,780",Kansas
04/12/2021,"84,240","84,240",Missouri
04/12/2021,"26,910","26,910",Nebraska
04/12/2021,"76,050","76,050",Colorado
04/12/2021,"15,210","15,210",Montana
04/12/2021,"10,530","10,530",North Dakota
04/12/2021,"11,700","11,700",South Dakota
04/12/2021,"38,610","38,610",Utah
04/12/2021,"8,190","8,190",Wyoming
04/12/2021,"95,940","95,940",Arizona
04/12/2021,"535,860","535,860",California
04/12/2021,"19,890","19,890",Hawaii
04/12/2021,"40,950","40,950",Nevada
04/12/2021,0,0,American Samoa
04/12/2021,0,0,Guam
04/12/2021,0,0,Marshall Islands
04/12/2021,0,0,Micronesia
04/12/2021,0,0,Mariana Islands
04/12/2021,0,0,Palau
04/12/2021,0,0,Alaska
04/12/2021,"23,400","23,400",Idaho
04/12/2021,"58,500","58,500",Oregon
04/12/2021,"102,960","102,960",Washington
04/12/2021,"201,240","201,240",Federal Entities
04/05/2021,"50,310","50,310",Connecticut
04/05/2021,"19,890","19,890",Maine
04/05/2021,"95,940","95,940",Massachusetts
04/05/2021,"19,890","19,890",New Hampshire
04/05/2021,"15,210","15,210",Rhode Island
04/05/2021,"9,360","9,360",Vermont
04/05/2021,"120,510","120,510",New Jersey
04/05/2021,"153,270","153,270",New York
04/05/2021,"117,000","117,000",New York City
04/05/2021,"47,970","47,970",Puerto Rico
04/05/2021,"2,340","2,340",U.S. Virgin Islands
04/05/2021,"14,040","14,040",Delaware
04/05/2021,"10,530","10,530",District of Columbia
04/05/2021,"81,900","81,900",Maryland
04/05/2021,"155,610","155,610",Pennsylvania
04/05/2021,"22,230","22,230",Philadelphia
04/05/2021,"114,660","114,660",Virginia
04/05/2021,"25,740","25,740",West Virginia
04/05/2021,"66,690","66,690",Alabama
04/05/2021,"286,650","286,650",Florida
04/05/2021,"136,890","136,890",Georgia
04/05/2021,"60,840","60,840",Kentucky
04/05/2021,"39,780","39,780",Mississippi
04/05/2021,"138,060","138,060",North Carolina
04/05/2021,"67,860","67,860",South Carolina
04/05/2021,"90,090","90,090",Tennessee
04/05/2021,"37,440","37,440",Chicago
04/05/2021,"136,890","136,890",Illinois
04/05/2021,"88,920","88,920",Indiana
04/05/2021,"135,720","135,720",Michigan
04/05/2021,"74,880","74,880",Minnesota
04/05/2021,"157,950","157,950",Ohio
04/05/2021,"79,560","79,560",Wisconsin
04/05/2021,"39,780","39,780",Arkansas
04/05/2021,"62,010","62,010",Louisiana
04/05/2021,"29,250","29,250",New Mexico
04/05/2021,"52,650","52,650",Oklahoma
04/05/2021,"359,190","359,190",Texas
04/05/2021,"42,120","42,120",Iowa
04/05/2021,"38,610","38,610",Kansas
04/05/2021,"83,070","83,070",Missouri
04/05/2021,"25,740","25,740",Nebraska
04/05/2021,"74,880","74,880",Colorado
04/05/2021,"15,210","15,210",Montana
04/05/2021,"10,530","10,530",North Dakota
04/05/2021,"11,700","11,700",South Dakota
04/05/2021,"37,440","37,440",Utah
04/05/2021,"8,190","8,190",Wyoming
04/05/2021,"93,600","93,600",Arizona
04/05/2021,"524,160","524,160",California
04/05/2021,"19,890","19,890",Hawaii
04/05/2021,"39,780","39,780",Nevada
04/05/2021,0,0,American Samoa
04/05/2021,0,0,Guam
04/05/2021,0,0,Marshall Islands
04/05/2021,0,0,Micronesia
04/05/2021,0,0,Mariana Islands
04/05/2021,0,0,Palau
04/05/2021,0,0,Alaska
04/05/2021,"22,230","22,230",Idaho
04/05/2021,"57,330","57,330",Oregon
04/05/2021,"100,620","100,620",Washington
04/05/2021,"243,360","243,360",Federal Entities
03/29/2021,"60,840","60,840",Connecticut
03/29/2021,"23,400","23,400",Maine
03/29/2021,"117,000","117,000",Massachusetts
03/29/2021,"23,400","23,400",New Hampshire
03/29/2021,"18,720","18,720",Rhode Island
03/29/2021,"11,700","11,700",Vermont
03/29/2021,"148,590","148,590",New Jersey
03/29/2021,"188,370","188,370",New York
03/29/2021,"143,910","143,910",New York City
03/29/2021,"58,500","58,500",Puerto Rico
03/29/2021,"2,340","2,340",U.S. Virgin Islands
03/29/2021,"16,380","16,380",Delaware
03/29/2021,"12,870","12,870",District of Columbia
03/29/2021,"100,620","100,620",Maryland
03/29/2021,"190,710","190,710",Pennsylvania
03/29/2021,"26,910","26,910",Philadelphia
03/29/2021,"140,400","140,400",Virginia
03/29/2021,"31,590","31,590",West Virginia
03/29/2021,"80,730","80,730",Alabama
03/29/2021,"352,170","352,170",Florida
03/29/2021,"167,310","167,310",Georgia
03/29/2021,"73,710","73,710",Kentucky
03/29/2021,"49,140","49,140",Mississippi
03/29/2021,"168,480","168,480",North Carolina
03/29/2021,"83,070","83,070",South Carolina
03/29/2021,"111,150","111,150",Tennessee
03/29/2021,"45,630","45,630",Chicago
03/29/2021,"167,310","167,310",Illinois
03/29/2021,"108,810","108,810",Indiana
03/29/2021,"166,140","166,140",Michigan
03/29/2021,"91,260","91,260",Minnesota
03/29/2021,"194,220","194,220",Ohio
03/29/2021,"97,110","97,110",Wisconsin
03/29/2021,"49,140","49,140",Arkansas
03/29/2021,"77,220","77,220",Louisiana
03/29/2021,"35,100","35,100",New Mexico
03/29/2021,"64,350","64,350",Oklahoma
03/29/2021,"441,090","441,090",Texas
03/29/2021,"51,480","51,480",Iowa
03/29/2021,"47,970","47,970",Kansas
03/29/2021,"101,790","101,790",Missouri
03/29/2021,"31,590","31,590",Nebraska
03/29/2021,"92,430","92,430",Colorado
03/29/2021,"17,550","17,550",Montana
03/29/2021,"12,870","12,870",North Dakota
03/29/2021,"14,040","14,040",South Dakota
03/29/2021,"46,800","46,800",Utah
03/29/2021,"10,530","10,530",Wyoming
03/29/2021,"114,660","114,660",Arizona
03/29/2021,"644,670","644,670",California
03/29/2021,"24,570","24,570",Hawaii
03/29/2021,"49,140","49,140",Nevada
03/29/2021,"11,700",0,American Samoa
03/29/2021,"25,740",0,Guam
03/29/2021,0,0,Marshall Islands
03/29/2021,0,0,Micronesia
03/29/2021,"11,700",0,Mariana Islands
03/29/2021,0,0,Palau
03/29/2021,"91,260","79,560",Alaska
03/29/2021,"26,910","26,910",Idaho
03/29/2021,"70,200","70,200",Oregon
03/29/2021,"122,850","122,850",Washington
03/29/2021,"201,240","201,240",Federal Entities
03/22/2021,"50,310","50,310",Connecticut
03/22/2021,"19,890","19,890",Maine
03/22/2021,"95,940","95,940",Massachusetts
03/22/2021,"19,890","19,890",New Hampshire
03/22/2021,"15,210","15,210",Rhode Island
03/22/2021,"9,360","9,360",Vermont
03/22/2021,"120,510","120,510",New Jersey
03/22/2021,"153,270","153,270",New York
03/22/2021,"117,000","117,000",New York City
03/22/2021,"47,970","47,970",Puerto Rico
03/22/2021,"2,340","2,340",U.S. Virgin Islands
03/22/2021,"14,040","14,040",Delaware
03/22/2021,"10,530","10,530",District of Columbia
03/22/2021,"81,900","81,900",Maryland
03/22/2021,"155,610","155,610",Pennsylvania
03/22/2021,"22,230","22,230",Philadelphia
03/22/2021,"114,660","114,660",Virginia
03/22/2021,"25,740","25,740",West Virginia
03/22/2021,"66,690","66,690",Alabama
03/22/2021,"286,650","286,650",Florida
03/22/2021,"136,890","136,890",Georgia
03/22/2021,"60,840","60,840",Kentucky
03/22/2021,"39,780","39,780",Mississippi
03/22/2021,"138,060","138,060",North Carolina
03/22/2021,"67,860","67,860",South Carolina
03/22/2021,"90,090","90,090",Tennessee
03/22/2021,"37,440","37,440",Chicago
03/22/2021,"136,890","136,890",Illinois
03/22/2021,"88,920","88,920",Indiana
03/22/2021,"135,720","135,720",Michigan
03/22/2021,"74,880","74,880",Minnesota
03/22/2021,"157,950","157,950",Ohio
03/22/2021,"79,560","79,560",Wisconsin
03/22/2021,"39,780","39,780",Arkansas
03/22/2021,"62,010","62,010",Louisiana
03/22/2021,"29,250","29,250",New Mexico
03/22/2021,"52,650","52,650",Oklahoma
03/22/2021,"359,190","359,190",Texas
03/22/2021,"42,120","42,120",Iowa
03/22/2021,"38,610","38,610",Kansas
03/22/2021,"83,070","83,070",Missouri
03/22/2021,"25,740","25,740",Nebraska
03/22/2021,"74,880","74,880",Colorado
03/22/2021,"15,210","15,210",Montana
03/22/2021,"10,530","10,530",North Dakota
03/22/2021,"11,700","11,700",South Dakota
03/22/2021,"37,440","37,440",Utah
03/22/2021,"8,190","8,190",Wyoming
03/22/2021,"93,600","93,600",Arizona
03/22/2021,"524,160","524,160",California
03/22/2021,"19,890","19,890",Hawaii
03/22/2021,"39,780","39,780",Nevada
03/22/2021,0,0,American Samoa
03/22/2021,0,0,Guam
03/22/2021,0,0,Marshall Islands
03/22/2021,0,0,Micronesia
03/22/2021,0,0,Mariana Islands
03/22/2021,0,0,Palau
03/22/2021,0,0,Alaska
03/22/2021,"22,230","22,230",Idaho
03/22/2021,"57,330","57,330",Oregon
03/22/2021,"100,620","100,620",Washington
03/22/2021,"195,390","195,390",Federal Entities
03/15/2021,"49,140","49,140",Connecticut
03/15/2021,"18,720","18,720",Maine
03/15/2021,"93,600","93,600",Massachusetts
03/15/2021,"18,720","18,720",New Hampshire
03/15/2021,"15,210","15,210",Rhode Island
03/15/2021,"9,360","9,360",Vermont
03/15/2021,"119,340","119,340",New Jersey
03/15/2021,"150,930","150,930",New York
03/15/2021,"114,660","114,660",New York City
03/15/2021,"46,800","46,800",Puerto Rico
03/15/2021,"2,340","2,340",U.S. Virgin Islands
03/15/2021,"12,870","12,870",Delaware
03/15/2021,"10,530","10,530",District of Columbia
03/15/2021,"80,730","80,730",Maryland
03/15/2021,"153,270","153,270",Pennsylvania
03/15/2021,"22,230","22,230",Philadelphia
03/15/2021,"112,320","112,320",Virginia
03/15/2021,"25,740","25,740",West Virginia
03/15/2021,"65,520","65,520",Alabama
03/15/2021,"281,970","281,970",Florida
03/15/2021,"134,550","134,550",Georgia
03/15/2021,"59,670","59,670",Kentucky
03/15/2021,"39,780","39,780",Mississippi
03/15/2021,"135,720","135,720",North Carolina
03/15/2021,"66,690","66,690",South Carolina
03/15/2021,"88,920","88,920",Tennessee
03/15/2021,"36,270","36,270",Chicago
03/15/2021,"134,550","134,550",Illinois
03/15/2021,"87,750","87,750",Indiana
03/15/2021,"133,380","133,380",Michigan
03/15/2021,"73,710","73,710",Minnesota
03/15/2021,"155,610","155,610",Ohio
03/15/2021,"78,390","78,390",Wisconsin
03/15/2021,"39,780","39,780",Arkansas
03/15/2021,"62,010","62,010",Louisiana
03/15/2021,"28,080","28,080",New Mexico
03/15/2021,"51,480","51,480",Oklahoma
03/15/2021,"353,340","353,340",Texas
03/15/2021,"42,120","42,120",Iowa
03/15/2021,"38,610","38,610",Kansas
03/15/2021,"80,730","80,730",Missouri
03/15/2021,"25,740","25,740",Nebraska
03/15/2021,"73,710","73,710",Colorado
03/15/2021,"14,040","14,040",Montana
03/15/2021,"10,530","10,530",North Dakota
03/15/2021,"11,700","11,700",South Dakota
03/15/2021,"37,440","37,440",Utah
03/15/2021,"8,190","8,190",Wyoming
03/15/2021,"92,430","92,430",Arizona
03/15/2021,"515,970","515,970",California
03/15/2021,"19,890","19,890",Hawaii
03/15/2021,"38,610","38,610",Nevada
03/15/2021,0,0,American Samoa
03/15/2021,0,0,Guam
03/15/2021,0,0,Marshall Islands
03/15/2021,0,0,Micronesia
03/15/2021,0,0,Mariana Islands
03/15/2021,0,0,Palau
03/15/2021,0,0,Alaska
03/15/2021,"22,230","22,230",Idaho
03/15/2021,"56,160","56,160",Oregon
03/15/2021,"98,280","98,280",Washington
03/15/2021,"182,520","182,520",Federal Entities
03/08/2021,"45,630","45,630",Connecticut
03/08/2021,"17,550","17,550",Maine
03/08/2021,"87,750","87,750",Massachusetts
03/08/2021,"17,550","17,550",New Hampshire
03/08/2021,"14,040","14,040",Rhode Island
03/08/2021,"8,190","8,190",Vermont
03/08/2021,"111,150","111,150",New Jersey
03/08/2021,"140,400","140,400",New York
03/08/2021,"106,470","106,470",New York City
03/08/2021,"43,290","43,290",Puerto Rico
03/08/2021,"2,340","2,340",U.S. Virgin Islands
03/08/2021,"12,870","12,870",Delaware
03/08/2021,"9,360","9,360",District of Columbia
03/08/2021,"74,880","74,880",Maryland
03/08/2021,"141,570","141,570",Pennsylvania
03/08/2021,"19,890","19,890",Philadelphia
03/08/2021,"105,300","105,300",Virginia
03/08/2021,"23,400","23,400",West Virginia
03/08/2021,"60,840","60,840",Alabama
03/08/2021,"262,080","262,080",Florida
03/08/2021,"125,190","125,190",Georgia
03/08/2021,"54,990","54,990",Kentucky
03/08/2021,"36,270","36,270",Mississippi
03/08/2021,"126,360","126,360",North Carolina
03/08/2021,"62,010","62,010",South Carolina
03/08/2021,"83,070","83,070",Tennessee
03/08/2021,"33,930","33,930",Chicago
03/08/2021,"125,190","125,190",Illinois
03/08/2021,"80,730","80,730",Indiana
03/08/2021,"124,020","124,020",Michigan
03/08/2021,"67,860","67,860",Minnesota
03/08/2021,"143,910","143,910",Ohio
03/08/2021,"72,540","72,540",Wisconsin
03/08/2021,"37,440","37,440",Arkansas
03/08/2021,"57,330","57,330",Louisiana
03/08/2021,"25,740","25,740",New Mexico
03/08/2021,"47,970","47,970",Oklahoma
03/08/2021,"328,770","328,770",Texas
03/08/2021,"38,610","38,610",Iowa
03/08/2021,"35,100","35,100",Kansas
03/08/2021,"76,050","76,050",Missouri
03/08/2021,"23,400","23,400",Nebraska
03/08/2021,"69,030","69,030",Colorado
03/08/2021,"14,040","14,040",Montana
03/08/2021,"10,530","10,530",North Dakota
03/08/2021,"10,530","10,530",South Dakota
03/08/2021,"35,100","35,100",Utah
03/08/2021,"8,190","8,190",Wyoming
03/08/2021,"85,410","85,410",Arizona
03/08/2021,"479,700","479,700",California
03/08/2021,"18,720","18,720",Hawaii
03/08/2021,"36,270","36,270",Nevada
03/08/2021,0,0,American Samoa
03/08/2021,0,0,Guam
03/08/2021,0,0,Marshall Islands
03/08/2021,0,0,Micronesia
03/08/2021,0,0,Mariana Islands
03/08/2021,0,0,Palau
03/08/2021,0,0,Alaska
03/08/2021,"19,890","19,890",Idaho
03/08/2021,"51,480","51,480",Oregon
03/08/2021,"91,260","91,260",Washington
03/08/2021,"230,490","221,130",Federal Entities
03/01/2021,"54,990","54,990",Alabama
03/01/2021,"53,820","53,820",Alaska
03/01/2021,"9,360",0,American Samoa
03/01/2021,"78,390","78,390",Arizona
03/01/2021,"33,930","33,930",Arkansas
03/01/2021,"438,750","438,750",California
03/01/2021,"31,590","31,590",Chicago
03/01/2021,"63,180","63,180",Colorado
03/01/2021,"42,120","42,120",Connecticut
03/01/2021,"11,700","11,700",Delaware
03/01/2021,"9,360","9,360",District of Columbia
03/01/2021,"209,430","190,710",Federal Entities
03/01/2021,"239,850","239,850",Florida
03/01/2021,"114,660","114,660",Georgia
03/01/2021,"21,060",0,Guam
03/01/2021,"16,380","16,380",Hawaii
03/01/2021,"18,720","18,720",Idaho
03/01/2021,"114,660","114,660",Illinois
03/01/2021,"74,880","74,880",Indiana
03/01/2021,"35,100","35,100",Iowa
03/01/2021,"32,760","32,760",Kansas
03/01/2021,"50,310","50,310",Kentucky
03/01/2021,"52,650","52,650",Louisiana
03/01/2021,"16,380","16,380",Maine
03/01/2021,"9,360",0,Mariana Islands
03/01/2021,0,0,Marshall Islands
03/01/2021,"69,030","69,030",Maryland
03/01/2021,"79,560","79,560",Massachusetts
03/01/2021,"113,490","113,490",Michigan
03/01/2021,0,0,Micronesia
03/01/2021,"62,010","62,010",Minnesota
03/01/2021,"33,930","33,930",Mississippi
03/01/2021,"69,030","69,030",Missouri
03/01/2021,"12,870","12,870",Montana
03/01/2021,"22,230","22,230",Nebraska
03/01/2021,"33,930","33,930",Nevada
03/01/2021,"16,380","16,380",New Hampshire
03/01/2021,"101,790","101,790",New Jersey
03/01/2021,"24,570","24,570",New Mexico
03/01/2021,"128,700","128,700",New York
03/01/2021,"98,280","98,280",New York City
03/01/2021,"115,830","115,830",North Carolina
03/01/2021,"9,360","9,360",North Dakota
03/01/2021,"132,210","132,210",Ohio
03/01/2021,"43,290","43,290",Oklahoma
03/01/2021,"47,970","47,970",Oregon
03/01/2021,0,0,Palau
03/01/2021,"129,870","129,870",Pennsylvania
03/01/2021,"18,720","18,720",Philadelphia
03/01/2021,"39,780","39,780",Puerto Rico
03/01/2021,"12,870","12,870",Rhode Island
03/01/2021,"57,330","57,330",South Carolina
03/01/2021,"10,530","10,530",South Dakota
03/01/2021,"76,050","76,050",Tennessee
03/01/2021,"300,690","300,690",Texas
03/01/2021,"2,340","2,340",U.S. Virgin Islands
03/01/2021,"31,590","31,590",Utah
03/01/2021,"8,190","8,190",Vermont
03/01/2021,"95,940","95,940",Virginia
03/01/2021,"84,240","84,240",Washington
03/01/2021,"22,230","22,230",West Virginia
03/01/2021,"66,690","66,690",Wisconsin
03/01/2021,"7,020","7,020",Wyoming
02/22/2021,"47,970","47,970",Alabama
02/22/2021,0,0,Alaska
02/22/2021,0,0,American Samoa
02/22/2021,"69,030","69,030",Arizona
02/22/2021,"29,250","29,250",Arkansas
02/22/2021,"382,590","382,590",California
02/22/2021,"26,910","26,910",Chicago
02/22/2021,"54,990","54,990",Colorado
02/22/2021,"36,270","36,270",Connecticut
02/22/2021,"10,530","10,530",Delaware
02/22/2021,"8,190","8,190",District of Columbia
02/22/2021,"166,140","166,140",Federal Entities
02/22/2021,"209,430","209,430",Florida
02/22/2021,"99,450","99,450",Georgia
02/22/2021,0,0,Guam
02/22/2021,"15,210","15,210",Hawaii
02/22/2021,"16,380","16,380",Idaho
02/22/2021,"99,450","99,450",Illinois
02/22/2021,"64,350","64,350",Indiana
02/22/2021,"31,590","31,590",Iowa
02/22/2021,"28,080","28,080",Kansas
02/22/2021,"44,460","44,460",Kentucky
02/22/2021,"45,630","45,630",Louisiana
02/22/2021,"14,040","14,040",Maine
02/22/2021,0,0,Mariana Islands
02/22/2021,0,0,Marshall Islands
02/22/2021,"59,670","59,670",Maryland
02/22/2021,"70,200","70,200",Massachusetts
02/22/2021,"99,450","99,450",Michigan
02/22/2021,0,0,Micronesia
02/22/2021,"54,990","54,990",Minnesota
02/22/2021,"29,250","29,250",Mississippi
02/22/2021,"60,840","60,840",Missouri
02/22/2021,"10,530","10,530",Montana
02/22/2021,"18,720","18,720",Nebraska
02/22/2021,"29,250","29,250",Nevada
02/22/2021,"14,040","14,040",New Hampshire
02/22/2021,"88,920","88,920",New Jersey
02/22/2021,"21,060","21,060",New Mexico
02/22/2021,"112,320","112,320",New York
02/22/2021,"85,410","85,410",New York City
02/22/2021,"100,620","100,620",North Carolina
02/22/2021,"8,190","8,190",North Dakota
02/22/2021,"115,830","115,830",Ohio
02/22/2021,"38,610","38,610",Oklahoma
02/22/2021,"42,120","42,120",Oregon
02/22/2021,0,0,Palau
02/22/2021,"113,490","113,490",Pennsylvania
02/22/2021,"16,380","16,380",Philadelphia
02/22/2021,"35,100","35,100",Puerto Rico
02/22/2021,"11,700","11,700",Rhode Island
02/22/2021,"49,140","49,140",South Carolina
02/22/2021,"9,360","9,360",South Dakota
02/22/2021,"65,520","65,520",Tennessee
02/22/2021,"262,080","262,080",Texas
02/22/2021,"1,170","1,170",U.S. Virgin Islands
02/22/2021,"28,080","28,080",Utah
02/22/2021,"7,020","7,020",Vermont
02/22/2021,"84,240","84,240",Virginia
02/22/2021,"73,710","73,710",Washington
02/22/2021,"18,720","18,720",West Virginia
02/22/2021,"58,500","58,500",Wisconsin
02/22/2021,"5,850","5,850",Wyoming
02/15/2021,"30,225","30,225",Alabama
02/15/2021,0,0,Alaska
02/15/2021,0,0,American Samoa
02/15/2021,"42,900","42,900",Arizona
02/15/2021,"18,525","18,525",Arkansas
02/15/2021,"241,800","241,800",California
02/15/2021,"17,550","17,550",Chicago
02/15/2021,"35,100","35,100",Colorado
02/15/2021,"23,400","23,400",Connecticut
02/15/2021,"6,825","6,825",Delaware
02/15/2021,"4,875","4,875",District of Columbia
02/15/2021,"105,300","105,300",Federal Entities
02/15/2021,"132,600","132,600",Florida
02/15/2021,"63,375","63,375",Georgia
02/15/2021,0,0,Guam
02/15/2021,"9,750","9,750",Hawaii
02/15/2021,"10,725","10,725",Idaho
02/15/2021,"63,375","63,375",Illinois
02/15/2021,"40,950","40,950",Indiana
02/15/2021,"19,500","19,500",Iowa
02/15/2021,"18,525","18,525",Kansas
02/15/2021,"28,275","28,275",Kentucky
02/15/2021,"29,250","29,250",Louisiana
02/15/2021,"8,775","8,775",Maine
02/15/2021,0,0,Mariana Islands
02/15/2021,0,0,Marshall Islands
02/15/2021,"38,025","38,025",Maryland
02/15/2021,"43,875","43,875",Massachusetts
02/15/2021,"62,400","62,400",Michigan
02/15/2021,0,0,Micronesia
02/15/2021,"34,125","34,125",Minnesota
02/15/2021,"18,525","18,525",Mississippi
02/15/2021,"38,025","38,025",Missouri
02/15/2021,"6,825","6,825",Montana
02/15/2021,"11,700","11,700",Nebraska
02/15/2021,"18,525","18,525",Nevada
02/15/2021,"8,775","8,775",New Hampshire
02/15/2021,"55,575","55,575",New Jersey
02/15/2021,"13,650","13,650",New Mexico
02/15/2021,"71,175","71,175",New York
02/15/2021,"53,625","53,625",New York City
02/15/2021,"63,375","63,375",North Carolina
02/15/2021,"4,875","4,875",North Dakota
02/15/2021,"73,125","73,125",Ohio
02/15/2021,"24,375","24,375",Oklahoma
02/15/2021,"26,325","26,325",Oregon
02/15/2021,0,0,Palau
02/15/2021,"71,175","71,175",Pennsylvania
02/15/2021,"10,725","10,725",Philadelphia
02/15/2021,"22,425","22,425",Puerto Rico
02/15/2021,"6,825","6,825",Rhode Island
02/15/2021,"31,200","31,200",South Carolina
02/15/2021,"5,850","5,850",South Dakota
02/15/2021,"41,925","41,925",Tennessee
02/15/2021,"165,750","165,750",Texas
02/15/2021,975,975,U.S. Virgin Islands
02/15/2021,"17,550","17,550",Utah
02/15/2021,"4,875","4,875",Vermont
02/15/2021,"52,650","52,650",Virginia
02/15/2021,"46,800","46,800",Washington
02/15/2021,"11,700","11,700",West Virginia
02/15/2021,"37,050","37,050",Wisconsin
02/15/2021,"3,900","3,900",Wyoming
02/08/2021,"30,225","30,225",Alabama
02/08/2021,0,0,Alaska
02/08/2021,0,0,American Samoa
02/08/2021,"42,900","42,900",Arizona
02/08/2021,"18,525","18,525",Arkansas
02/08/2021,"241,800","241,800",California
02/08/2021,"17,550","17,550",Chicago
02/08/2021,"35,100","35,100",Colorado
02/08/2021,"23,400","23,400",Connecticut
02/08/2021,"6,825","6,825",Delaware
02/08/2021,"4,875","4,875",District of Columbia
02/08/2021,"105,300","105,300",Federal Entities
02/08/2021,"132,600","132,600",Florida
