Week of Allocations,1st Dose Allocations,2nd Dose Allocations,Jurisdiction
02/08/2021,"63,375","63,375",Georgia
02/08/2021,0,0,Guam
02/08/2021,"9,750","9,750",Hawaii
02/08/2021,"10,725","10,725",Idaho
02/08/2021,"63,375","63,375",Illinois
02/08/2021,"40,950","40,950",Indiana
02/08/2021,"19,500","19,500",Iowa
02/08/2021,"18,525","18,525",Kansas
02/08/2021,"28,275","28,275",Kentucky
02/08/2021,"29,250","29,250",Louisiana
02/08/2021,"8,775","8,775",Maine
02/08/2021,0,0,Mariana Islands
02/08/2021,0,0,Marshall Islands
02/08/2021,"38,025","38,025",Maryland
02/08/2021,"43,875","43,875",Massachusetts
02/08/2021,"62,400","62,400",Michigan
02/08/2021,0,0,Micronesia
02/08/2021,"34,125","34,125",Minnesota
02/08/2021,"18,525","18,525",Mississippi
02/08/2021,"38,025","38,025",Missouri
02/08/2021,"6,825","6,825",Montana
02/08/2021,"11,700","11,700",Nebraska
02/08/2021,"18,525","18,525",Nevada
02/08/2021,"8,775","8,775",New Hampshire
02/08/2021,"55,575","55,575",New Jersey
02/08/2021,"13,650","13,650",New Mexico
02/08/2021,"71,175","71,175",New York
02/08/2021,"53,625","53,625",New York City
02/08/2021,"63,375","63,375",North Carolina
02/08/2021,"4,875","4,875",North Dakota
02/08/2021,"73,125","73,125",Ohio
02/08/2021,"24,375","24,375",Oklahoma
02/08/2021,"26,325","26,325",Oregon
02/08/2021,0,0,Palau
02/08/2021,"71,175","71,175",Pennsylvania
02/08/2021,"10,725","10,725",Philadelphia
02/08/2021,"22,425","22,425",Puerto Rico
02/08/2021,"6,825","6,825",Rhode Island
02/08/2021,"31,200","31,200",South Carolina
02/08/2021,"5,850","5,850",South Dakota
02/08/2021,"41,925","41,925",Tennessee
02/08/2021,"165,750","165,750",Texas
02/08/2021,975,975,U.S. Virgin Islands
02/08/2021,"17,550","17,550",Utah
02/08/2021,"4,875","4,875",Vermont
02/08/2021,"52,650","52,650",Virginia
02/08/2021,"46,800","46,800",Washington
02/08/2021,"11,700","11,700",West Virginia
02/08/2021,"37,050","37,050",Wisconsin
02/08/2021,"3,900","3,900",Wyoming
02/01/2021,"30,225","30,225",Alabama
02/01/2021,"27,300","27,300",Alaska
02/01/2021,"7,800",0,American Samoa
02/01/2021,"42,900","42,900",Arizona
02/01/2021,"18,525","18,525",Arkansas
02/01/2021,"240,825","240,825",California
02/01/2021,"17,550","17,550",Chicago
02/01/2021,"34,125","34,125",Colorado
02/01/2021,"23,400","23,400",Connecticut
02/01/2021,"6,825","6,825",Delaware
02/01/2021,"4,875","4,875",District of Columbia
02/01/2021,"119,925","104,325",Federal Entities
02/01/2021,"131,625","131,625",Florida
02/01/2021,"62,400","62,400",Georgia
02/01/2021,"7,800",0,Guam
02/01/2021,"9,750","9,750",Hawaii
02/01/2021,"10,725","10,725",Idaho
02/01/2021,"62,400","62,400",Illinois
02/01/2021,"40,950","40,950",Indiana
02/01/2021,"19,500","19,500",Iowa
02/01/2021,"17,550","17,550",Kansas
02/01/2021,"28,275","28,275",Kentucky
02/01/2021,"29,250","29,250",Louisiana
02/01/2021,"8,775","8,775",Maine
02/01/2021,"7,800",0,Mariana Islands
02/01/2021,0,0,Marshall Islands
02/01/2021,"38,025","38,025",Maryland
02/01/2021,"43,875","43,875",Massachusetts
02/01/2021,"62,400","62,400",Michigan
02/01/2021,0,0,Micronesia
02/01/2021,"34,125","34,125",Minnesota
02/01/2021,"18,525","18,525",Mississippi
02/01/2021,"38,025","38,025",Missouri
02/01/2021,"6,825","6,825",Montana
02/01/2021,"11,700","11,700",Nebraska
02/01/2021,"18,525","18,525",Nevada
02/01/2021,"8,775","8,775",New Hampshire
02/01/2021,"55,575","55,575",New Jersey
02/01/2021,"13,650","13,650",New Mexico
02/01/2021,"70,200","70,200",New York
02/01/2021,"53,625","53,625",New York City
02/01/2021,"63,375","63,375",North Carolina
02/01/2021,"4,875","4,875",North Dakota
02/01/2021,"72,150","72,150",Ohio
02/01/2021,"24,375","24,375",Oklahoma
02/01/2021,"26,325","26,325",Oregon
02/01/2021,0,0,Palau
02/01/2021,"71,175","71,175",Pennsylvania
02/01/2021,"10,725","10,725",Philadelphia
02/01/2021,"22,425","22,425",Puerto Rico
02/01/2021,"6,825","6,825",Rhode Island
02/01/2021,"31,200","31,200",South Carolina
02/01/2021,"5,850","5,850",South Dakota
02/01/2021,"41,925","41,925",Tennessee
02/01/2021,"164,775","164,775",Texas
02/01/2021,975,975,U.S. Virgin Islands
02/01/2021,"17,550","17,550",Utah
02/01/2021,"4,875","4,875",Vermont
02/01/2021,"52,650","52,650",Virginia
02/01/2021,"45,825","45,825",Washington
02/01/2021,"11,700","11,700",West Virginia
02/01/2021,"36,075","36,075",Wisconsin
02/01/2021,"3,900","3,900",Wyoming
01/25/2021,"30,225","30,225",Alabama
01/25/2021,0,0,Alaska
01/25/2021,0,0,American Samoa
01/25/2021,"42,900","42,900",Arizona
01/25/2021,"18,525","18,525",Arkansas
01/25/2021,"241,800","241,800",California
01/25/2021,"17,550","17,550",Chicago
01/25/2021,"35,100","35,100",Colorado
01/25/2021,"23,400","23,400",Connecticut
01/25/2021,"6,825","6,825",Delaware
01/25/2021,"4,875","4,875",District of Columbia
01/25/2021,"105,300","105,300",Federal Entities
01/25/2021,"132,600","132,600",Florida
01/25/2021,"63,375","63,375",Georgia
01/25/2021,0,0,Guam
01/25/2021,"9,750","9,750",Hawaii
01/25/2021,"10,725","10,725",Idaho
01/25/2021,"63,375","63,375",Illinois
01/25/2021,"40,950","40,950",Indiana
01/25/2021,"19,500","19,500",Iowa
01/25/2021,"18,525","18,525",Kansas
01/25/2021,"28,275","28,275",Kentucky
01/25/2021,"29,250","29,250",Louisiana
01/25/2021,"8,775","8,775",Maine
01/25/2021,0,0,Mariana Islands
01/25/2021,0,0,Marshall Islands
01/25/2021,"38,025","38,025",Maryland
01/25/2021,"43,875","43,875",Massachusetts
01/25/2021,"62,400","62,400",Michigan
01/25/2021,0,0,Micronesia
01/25/2021,"34,125","34,125",Minnesota
01/25/2021,"18,525","18,525",Mississippi
01/25/2021,"38,025","38,025",Missouri
01/25/2021,"6,825","6,825",Montana
01/25/2021,"11,700","11,700",Nebraska
01/25/2021,"18,525","18,525",Nevada
01/25/2021,"8,775","8,775",New Hampshire
01/25/2021,"55,575","55,575",New Jersey
01/25/2021,"13,650","13,650",New Mexico
01/25/2021,"71,175","71,175",New York
01/25/2021,"53,625","53,625",New York City
01/25/2021,"63,375","63,375",North Carolina
01/25/2021,"4,875","4,875",North Dakota
01/25/2021,"73,125","73,125",Ohio
01/25/2021,"24,375","24,375",Oklahoma
01/25/2021,"26,325","26,325",Oregon
01/25/2021,0,0,Palau
01/25/2021,"71,175","71,175",Pennsylvania
01/25/2021,"10,725","10,725",Philadelphia
01/25/2021,"22,425","22,425",Puerto Rico
01/25/2021,"6,825","6,825",Rhode Island
01/25/2021,"31,200","31,200",South Carolina
01/25/2021,"5,850","5,850",South Dakota
01/25/2021,"41,925","41,925",Tennessee
01/25/2021,"165,750","165,750",Texas
01/25/2021,975,975,U.S. Virgin Islands
01/25/2021,"17,550","17,550",Utah
01/25/2021,"4,875","4,875",Vermont
01/25/2021,"52,650","52,650",Virginia
01/25/2021,"46,800","46,800",Washington
01/25/2021,"11,700","11,700",West Virginia
01/25/2021,"37,050","37,050",Wisconsin
01/25/2021,"3,900","3,900",Wyoming
01/18/2021,"30,225","30,225",Alabama
01/18/2021,0,0,Alaska
01/18/2021,0,0,American Samoa
01/18/2021,"42,900","42,900",Arizona
01/18/2021,"18,525","18,525",Arkansas
01/18/2021,"241,800","241,800",California
01/18/2021,"17,550","17,550",Chicago
01/18/2021,"35,100","35,100",Colorado
01/18/2021,"23,400","23,400",Connecticut
01/18/2021,"6,825","6,825",Delaware
01/18/2021,"4,875","4,875",District of Columbia
01/18/2021,"105,300","105,300",Federal Entities
01/18/2021,"132,600","132,600",Florida
01/18/2021,"63,375","63,375",Georgia
01/18/2021,0,0,Guam
01/18/2021,"9,750","9,750",Hawaii
01/18/2021,"10,725","10,725",Idaho
01/18/2021,"63,375","63,375",Illinois
01/18/2021,"40,950","40,950",Indiana
01/18/2021,"19,500","19,500",Iowa
01/18/2021,"18,525","18,525",Kansas
01/18/2021,"28,275","28,275",Kentucky
01/18/2021,"29,250","29,250",Louisiana
01/18/2021,"8,775","8,775",Maine
01/18/2021,0,0,Mariana Islands
01/18/2021,0,0,Marshall Islands
01/18/2021,"38,025","38,025",Maryland
01/18/2021,"43,875","43,875",Massachusetts
01/18/2021,"62,400","62,400",Michigan
01/18/2021,0,0,Micronesia
01/18/2021,"34,125","34,125",Minnesota
01/18/2021,"18,525","18,525",Mississippi
01/18/2021,"38,025","38,025",Missouri
01/18/2021,"6,825","6,825",Montana
01/18/2021,"11,700","11,700",Nebraska
01/18/2021,"18,525","18,525",Nevada
01/18/2021,"8,775","8,775",New Hampshire
01/18/2021,"55,575","55,575",New Jersey
01/18/2021,"13,650","13,650",New Mexico
01/18/2021,"71,175","71,175",New York
01/18/2021,"53,625","53,625",New York City
01/18/2021,"63,375","63,375",North Carolina
01/18/2021,"4,875","4,875",North Dakota
01/18/2021,"73,125","73,125",Ohio
01/18/2021,"24,375","24,375",Oklahoma
01/18/2021,"26,325","26,325",Oregon
01/18/2021,0,0,Palau
01/18/2021,"71,175","71,175",Pennsylvania
01/18/2021,"10,725","10,725",Philadelphia
01/18/2021,"22,425","22,425",Puerto Rico
01/18/2021,"6,825","6,825",Rhode Island
01/18/2021,"31,200","31,200",South Carolina
01/18/2021,"5,850","5,850",South Dakota
01/18/2021,"41,925","41,925",Tennessee
01/18/2021,"165,750","165,750",Texas
01/18/2021,975,975,U.S. Virgin Islands
01/18/2021,"17,550","17,550",Utah
01/18/2021,"4,875","4,875",Vermont
01/18/2021,"52,650","52,650",Virginia
01/18/2021,"46,800","46,800",Washington
01/18/2021,"11,700","11,700",West Virginia
01/18/2021,"37,050","37,050",Wisconsin
01/18/2021,"3,900","3,900",Wyoming
01/11/2021,"29,250","29,250",Alabama
01/11/2021,0,0,Alaska
01/11/2021,0,0,American Samoa
01/11/2021,"41,925","41,925",Arizona
01/11/2021,"18,525","18,525",Arkansas
01/11/2021,"233,025","233,025",California
01/11/2021,"16,575","16,575",Chicago
01/11/2021,"33,150","33,150",Colorado
01/11/2021,"22,425","22,425",Connecticut
01/11/2021,"5,850","5,850",Delaware
01/11/2021,"4,875","4,875",District of Columbia
01/11/2021,"102,375","102,375",Federal Entities
01/11/2021,"127,725","127,725",Florida
01/11/2021,"60,450","60,450",Georgia
01/11/2021,0,0,Guam
01/11/2021,"8,775","8,775",Hawaii
01/11/2021,"9,750","9,750",Idaho
01/11/2021,"60,450","60,450",Illinois
01/11/2021,"39,975","39,975",Indiana
01/11/2021,"19,500","19,500",Iowa
01/11/2021,"17,550","17,550",Kansas
01/11/2021,"27,300","27,300",Kentucky
01/11/2021,"28,275","28,275",Louisiana
01/11/2021,"8,775","8,775",Maine
01/11/2021,0,0,Mariana Islands
01/11/2021,0,0,Marshall Islands
01/11/2021,"36,075","36,075",Maryland
01/11/2021,"42,900","42,900",Massachusetts
01/11/2021,"60,450","60,450",Michigan
01/11/2021,0,0,Micronesia
01/11/2021,"33,150","33,150",Minnesota
01/11/2021,"17,550","17,550",Mississippi
01/11/2021,"37,050","37,050",Missouri
01/11/2021,"6,825","6,825",Montana
01/11/2021,"11,700","11,700",Nebraska
01/11/2021,"17,550","17,550",Nevada
01/11/2021,"8,775","8,775",New Hampshire
01/11/2021,"53,625","53,625",New Jersey
01/11/2021,"12,675","12,675",New Mexico
01/11/2021,"68,250","68,250",New York
01/11/2021,"51,675","51,675",New York City
01/11/2021,"61,425","61,425",North Carolina
01/11/2021,"4,875","4,875",North Dakota
01/11/2021,"70,200","70,200",Ohio
01/11/2021,"23,400","23,400",Oklahoma
01/11/2021,"25,350","25,350",Oregon
01/11/2021,0,0,Palau
01/11/2021,"69,225","69,225",Pennsylvania
01/11/2021,"9,750","9,750",Philadelphia
01/11/2021,"21,450","21,450",Puerto Rico
01/11/2021,"6,825","6,825",Rhode Island
01/11/2021,"30,225","30,225",South Carolina
01/11/2021,"5,850","5,850",South Dakota
01/11/2021,"39,975","39,975",Tennessee
01/11/2021,"159,900","159,900",Texas
01/11/2021,975,975,U.S. Virgin Islands
01/11/2021,"16,575","16,575",Utah
01/11/2021,"4,875","4,875",Vermont
01/11/2021,"50,700","50,700",Virginia
01/11/2021,"57,525","57,525",Washington
01/11/2021,"11,700","11,700",West Virginia
01/11/2021,"35,100","35,100",Wisconsin
01/11/2021,"3,900","3,900",Wyoming
01/04/2021,"29,250","29,250",Alabama
01/04/2021,"27,300","27,300",Alaska
01/04/2021,"7,800",0,American Samoa
01/04/2021,"41,925","41,925",Arizona
01/04/2021,"18,525","18,525",Arkansas
01/04/2021,"232,050","232,050",California
01/04/2021,"16,575","16,575",Chicago
01/04/2021,"33,150","33,150",Colorado
01/04/2021,"22,425","22,425",Connecticut
01/04/2021,"5,850","5,850",Delaware
01/04/2021,"4,875","4,875",District of Columbia
01/04/2021,"117,000","101,400",Federal Entities
01/04/2021,"126,750","126,750",Florida
01/04/2021,"60,450","60,450",Georgia
01/04/2021,"7,800",0,Guam
01/04/2021,"8,775","8,775",Hawaii
01/04/2021,"9,750","9,750",Idaho
01/04/2021,"60,450","60,450",Illinois
01/04/2021,"39,000","39,000",Indiana
01/04/2021,"18,525","18,525",Iowa
01/04/2021,"17,550","17,550",Kansas
01/04/2021,"27,300","27,300",Kentucky
01/04/2021,"28,275","28,275",Louisiana
01/04/2021,"8,775","8,775",Maine
01/04/2021,"7,800",0,Mariana Islands
01/04/2021,0,0,Marshall Islands
01/04/2021,"36,075","36,075",Maryland
01/04/2021,"42,900","42,900",Massachusetts
01/04/2021,"60,450","60,450",Michigan
01/04/2021,0,0,Micronesia
01/04/2021,"33,150","33,150",Minnesota
01/04/2021,"17,550","17,550",Mississippi
01/04/2021,"37,050","37,050",Missouri
01/04/2021,"6,825","6,825",Montana
01/04/2021,"11,700","11,700",Nebraska
01/04/2021,"17,550","17,550",Nevada
01/04/2021,"8,775","8,775",New Hampshire
01/04/2021,"53,625","53,625",New Jersey
01/04/2021,"12,675","12,675",New Mexico
01/04/2021,"68,250","68,250",New York
01/04/2021,"51,675","51,675",New York City
01/04/2021,"61,425","61,425",North Carolina
01/04/2021,"4,875","4,875",North Dakota
01/04/2021,"70,200","70,200",Ohio
01/04/2021,"23,400","23,400",Oklahoma
01/04/2021,"25,350","25,350",Oregon
01/04/2021,0,0,Palau
01/04/2021,"69,225","69,225",Pennsylvania
01/04/2021,"9,750","9,750",Philadelphia
01/04/2021,"21,450","21,450",Puerto Rico
01/04/2021,"6,825","6,825",Rhode Island
01/04/2021,"30,225","30,225",South Carolina
01/04/2021,"5,850","5,850",South Dakota
01/04/2021,"39,975","39,975",Tennessee
01/04/2021,"158,925","158,925",Texas
01/04/2021,975,975,U.S. Virgin Islands
01/04/2021,"16,575","16,575",Utah
01/04/2021,"3,900","3,900",Vermont
01/04/2021,"50,700","50,700",Virginia
01/04/2021,"44,850","44,850",Washington
01/04/2021,"11,700","11,700",West Virginia
01/04/2021,"35,100","35,100",Wisconsin
01/04/2021,"3,900","3,900",Wyoming
12/28/2020,"38,025","38,025",Alabama
12/28/2020,0,0,Alaska
12/28/2020,0,0,American Samoa
12/28/2020,"53,625","53,625",Arizona
12/28/2020,"23,400","23,400",Arkansas
12/28/2020,"297,375","297,375",California
12/28/2020,"21,450","21,450",Chicago
12/28/2020,"42,900","42,900",Colorado
12/28/2020,"28,275","28,275",Connecticut
12/28/2020,"7,800","7,800",Delaware
12/28/2020,"5,850","5,850",District of Columbia
12/28/2020,"128,700","128,700",Federal Entities
12/28/2020,"162,825","162,825",Florida
12/28/2020,"77,025","77,025",Georgia
12/28/2020,0,0,Guam
12/28/2020,"11,700","11,700",Hawaii
12/28/2020,"12,675","12,675",Idaho
12/28/2020,"78,000","78,000",Illinois
12/28/2020,"50,700","50,700",Indiana
12/28/2020,"24,375","24,375",Iowa
12/28/2020,"22,425","22,425",Kansas
12/28/2020,"34,125","34,125",Kentucky
12/28/2020,"36,075","36,075",Louisiana
12/28/2020,"10,725","10,725",Maine
12/28/2020,0,0,Mariana Islands
12/28/2020,0,0,Marshall Islands
12/28/2020,"46,800","46,800",Maryland
12/28/2020,"54,600","54,600",Massachusetts
12/28/2020,"77,025","77,025",Michigan
12/28/2020,0,0,Micronesia
12/28/2020,"42,900","42,900",Minnesota
12/28/2020,"22,425","22,425",Mississippi
12/28/2020,"46,800","46,800",Missouri
12/28/2020,"8,775","8,775",Montana
12/28/2020,"14,625","14,625",Nebraska
12/28/2020,"22,425","22,425",Nevada
12/28/2020,"10,725","10,725",New Hampshire
12/28/2020,"68,250","68,250",New Jersey
12/28/2020,"16,575","16,575",New Mexico
12/28/2020,"87,750","87,750",New York
12/28/2020,"66,300","66,300",New York City
12/28/2020,"78,000","78,000",North Carolina
12/28/2020,"5,850","5,850",North Dakota
12/28/2020,"89,700","89,700",Ohio
12/28/2020,"29,250","29,250",Oklahoma
12/28/2020,"32,175","32,175",Oregon
12/28/2020,0,0,Palau
12/28/2020,"88,725","88,725",Pennsylvania
12/28/2020,"12,675","12,675",Philadelphia
12/28/2020,"27,300","27,300",Puerto Rico
12/28/2020,"8,775","8,775",Rhode Island
12/28/2020,"39,000","39,000",South Carolina
12/28/2020,"6,825","6,825",South Dakota
12/28/2020,"51,675","51,675",Tennessee
12/28/2020,"203,775","203,775",Texas
12/28/2020,975,975,U.S. Virgin Islands
12/28/2020,"21,450","21,450",Utah
12/28/2020,"5,850","5,850",Vermont
12/28/2020,"65,325","65,325",Virginia
12/28/2020,"57,525","57,525",Washington
12/28/2020,"14,625","14,625",West Virginia
12/28/2020,"44,850","44,850",Wisconsin
12/28/2020,"4,875","4,875",Wyoming
12/21/2020,"29,250","29,250",Alabama
12/21/2020,0,0,Alaska
12/21/2020,0,0,American Samoa
12/21/2020,"41,925","41,925",Arizona
12/21/2020,"18,525","18,525",Arkansas
12/21/2020,"233,025","233,025",California
12/21/2020,"16,575","16,575",Chicago
12/21/2020,"33,150","33,150",Colorado
12/21/2020,"22,425","22,425",Connecticut
12/21/2020,"5,850","5,850",Delaware
12/21/2020,"4,875","4,875",District of Columbia
12/21/2020,"102,375","102,375",Federal Entities
12/21/2020,"127,725","127,725",Florida
12/21/2020,"60,450","60,450",Georgia
12/21/2020,0,0,Guam
12/21/2020,"8,775","8,775",Hawaii
12/21/2020,"9,750","9,750",Idaho
12/21/2020,"60,450","60,450",Illinois
12/21/2020,"39,975","39,975",Indiana
12/21/2020,"19,500","19,500",Iowa
12/21/2020,"17,550","17,550",Kansas
12/21/2020,"27,300","27,300",Kentucky
12/21/2020,"28,275","28,275",Louisiana
12/21/2020,"8,775","8,775",Maine
12/21/2020,0,0,Mariana Islands
12/21/2020,0,0,Marshall Islands
12/21/2020,"36,075","36,075",Maryland
12/21/2020,"42,900","42,900",Massachusetts
12/21/2020,"60,450","60,450",Michigan
12/21/2020,0,0,Micronesia
12/21/2020,"33,150","33,150",Minnesota
12/21/2020,"17,550","17,550",Mississippi
12/21/2020,"37,050","37,050",Missouri
12/21/2020,"6,825","6,825",Montana
12/21/2020,"11,700","11,700",Nebraska
12/21/2020,"17,550","17,550",Nevada
12/21/2020,"8,775","8,775",New Hampshire
12/21/2020,"53,625","53,625",New Jersey
12/21/2020,"12,675","12,675",New Mexico
12/21/2020,"68,250","68,250",New York
12/21/2020,"51,675","51,675",New York City
12/21/2020,"61,425","61,425",North Carolina
12/21/2020,"4,875","4,875",North Dakota
12/21/2020,"70,200","70,200",Ohio
12/21/2020,"23,400","23,400",Oklahoma
12/21/2020,"25,350","25,350",Oregon
12/21/2020,0,0,Palau
12/21/2020,"69,225","69,225",Pennsylvania
12/21/2020,"9,750","9,750",Philadelphia
12/21/2020,"21,450","21,450",Puerto Rico
12/21/2020,"6,825","6,825",Rhode Island
12/21/2020,"30,225","30,225",South Carolina
12/21/2020,"5,850","5,850",South Dakota
12/21/2020,"39,975","39,975",Tennessee
12/21/2020,"159,900","159,900",Texas
12/21/2020,975,975,U.S. Virgin Islands
12/21/2020,"16,575","16,575",Utah
12/21/2020,"4,875","4,875",Vermont
12/21/2020,"50,700","50,700",Virginia
12/21/2020,"44,850","44,850",Washington
12/21/2020,"11,700","11,700",West Virginia
12/21/2020,"35,100","35,100",Wisconsin
12/21/2020,"3,900","3,900",Wyoming
12/14/2020,"40,950","40,950",Alabama
12/14/2020,"35,100","35,100",Alaska
12/14/2020,"5,850",0,American Samoa
12/14/2020,"58,500","58,500",Arizona
12/14/2020,"25,350","25,350",Arkansas
12/14/2020,"327,600","327,600",California
12/14/2020,"23,400","23,400",Chicago
12/14/2020,"46,800","46,800",Colorado
12/14/2020,"31,200","31,200",Connecticut
12/14/2020,"8,775","8,775",Delaware
12/14/2020,"6,825","6,825",District of Columbia
12/14/2020,"156,000","142,350",Federal Entities
12/14/2020,"179,400","179,400",Florida
12/14/2020,"84,825","84,825",Georgia
12/14/2020,"11,700",0,Guam
12/14/2020,"12,675","12,675",Hawaii
12/14/2020,"13,650","13,650",Idaho
12/14/2020,"85,800","85,800",Illinois
12/14/2020,"55,575","55,575",Indiana
12/14/2020,"26,325","26,325",Iowa
12/14/2020,"24,375","24,375",Kansas
12/14/2020,"38,025","38,025",Kentucky
12/14/2020,"39,000","39,000",Louisiana
12/14/2020,"12,675","12,675",Maine
12/14/2020,"5,850",0,Mariana Islands
12/14/2020,0,0,Marshall Islands
12/14/2020,"50,700","50,700",Maryland
12/14/2020,"59,475","59,475",Massachusetts
12/14/2020,"84,825","84,825",Michigan
12/14/2020,0,0,Micronesia
12/14/2020,"46,800","46,800",Minnesota
12/14/2020,"25,350","25,350",Mississippi
12/14/2020,"51,675","51,675",Missouri
12/14/2020,"9,750","9,750",Montana
12/14/2020,"16,575","16,575",Nebraska
12/14/2020,"25,350","25,350",Nevada
12/14/2020,"12,675","12,675",New Hampshire
12/14/2020,"76,050","76,050",New Jersey
12/14/2020,"17,550","17,550",New Mexico
12/14/2020,"96,525","96,525",New York
12/14/2020,"73,125","73,125",New York City
12/14/2020,"85,800","85,800",North Carolina
12/14/2020,"6,825","6,825",North Dakota
12/14/2020,"98,475","98,475",Ohio
12/14/2020,"33,150","33,150",Oklahoma
12/14/2020,"35,100","35,100",Oregon
12/14/2020,0,0,Palau
12/14/2020,"97,500","97,500",Pennsylvania
12/14/2020,"13,650","13,650",Philadelphia
12/14/2020,"30,225","30,225",Puerto Rico
12/14/2020,"9,750","9,750",Rhode Island
12/14/2020,"42,900","42,900",South Carolina
12/14/2020,"7,800","7,800",South Dakota
12/14/2020,"56,550","56,550",Tennessee
12/14/2020,"224,250","224,250",Texas
12/14/2020,975,975,U.S. Virgin Islands
12/14/2020,"23,400","23,400",Utah
12/14/2020,"5,850","5,850",Vermont
12/14/2020,"72,150","72,150",Virginia
12/14/2020,"62,400","62,400",Washington
12/14/2020,"16,575","16,575",West Virginia
12/14/2020,"49,725","49,725",Wisconsin
12/14/2020,"4,875","4,875",Wyoming
